Data structureconstruction time: 10805286582 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1",4781195,144.829,145.761,ns,,,,,,0,0,1,5.01345e+13
"BM_run/2",859304,808.318,814.145,ns,,,,,,0,0,2,2.25262e+12
"BM_run/3",370615,1883.31,1887.4,ns,,,,,,0,0,3,2.42886e+11
"BM_run/4",242662,2882.05,2885.45,ns,,,,,,0,0,4,3.9758e+10
"BM_run/5",150563,4645.41,4647.24,ns,,,,,,0,0,5,6.16715e+09
"BM_run/6",103599,6748.94,6749.14,ns,,,,,,0,0,6,1.06089e+09
"BM_run/7",78732,8853.01,8851.06,ns,,,,,,0,0,7,2.01635e+08
"BM_run/8",64232,10859.1,10854.8,ns,,,,,,0,0,8,4.11699e+07
"BM_run/9",54129,12897.5,12891.8,ns,,,,,,0,0,9,8.71277e+06
"BM_run/10",46896,14914.2,14906.8,ns,,,,,,0,0,10,1.92278e+06
"BM_run/20",27652,25351.2,25335.6,ns,,,,,,0,0,20,27654
"BM_run/30",22931,30352.8,30333.7,ns,,,,,,0,0,30,22931
"BM_run/40",19745,35511.9,35487.1,ns,,,,,,0,0,40,19745
"BM_run/50",17437,40355.6,40325.9,ns,,,,,,0,0,50,17437
"BM_run/60",15428,44887.7,44854.2,ns,,,,,,0,0,60,15428
"BM_run/70",13590,50297.6,50260,ns,,,,,,0,0,70,13590
"BM_run/80",12551,55055.7,55011.3,ns,,,,,,0,0,80,12551
"BM_run/90",11620,59955.9,59908.8,ns,,,,,,0,0,90,11620
"BM_run/100",11001,64523.9,64471.8,ns,,,,,,0,0,100,11001
"BM_run/200",6150,113443,113349,ns,,,,,,0,0,200,6150
"BM_run/300",4392,159900,159766,ns,,,,,,0,0,300,4392
"BM_run/400",3384,209328,209156,ns,,,,,,0,0,400,3384
"BM_run/500",2683,256077,255869,ns,,,,,,0,0,500,2683
"BM_run/600",2314,299889,299645,ns,,,,,,0,0,600,2314
"BM_run/700",2003,355558,355281,ns,,,,,,0,0,700,2003
"BM_run/800",1734,394417,394114,ns,,,,,,0,0,800,1734
"BM_run/900",1465,460419,460077,ns,,,,,,0,0,900,1465
"BM_run/1000",1367,485419,485061,ns,,,,,,0,0,1000,1367
"BM_run/2000",698,922139,921461,ns,,,,,,0,0,2000,698
"BM_run/3000",467,1.444e+06,1.44294e+06,ns,,,,,,0,0,3000,467
"BM_run/4000",329,1.87537e+06,1.87406e+06,ns,,,,,,0,0,4000,329
"BM_run/5000",300,2.27182e+06,2.27021e+06,ns,,,,,,0,0,5000,300
"BM_run/6000",233,3.0205e+06,3.01837e+06,ns,,,,,,0,0,6000,233
"BM_run/7000",225,3.1469e+06,3.1447e+06,ns,,,,,,0,0,7000,225
"BM_run/8000",164,4.26308e+06,4.26014e+06,ns,,,,,,0,0,8000,164
"BM_run/9000",190,4.17758e+06,4.1746e+06,ns,,,,,,0,0,9000,190
"BM_run/10000",112,4.64713e+06,4.64393e+06,ns,,,,,,0,0,10000,112
"BM_run/20000",78,8.15201e+06,8.14628e+06,ns,,,,,,0,0,20000,78
"BM_run/30000",58,1.59301e+07,1.59195e+07,ns,,,,,,0,0,30000,58
"BM_run/40000",35,1.46667e+07,1.46566e+07,ns,,,,,,0,0,40000,35
"BM_run/50000",28,2.14558e+07,2.14413e+07,ns,,,,,,0,0,50000,28
"BM_run/60000",38,2.52868e+07,2.52693e+07,ns,,,,,,0,0,60000,38
"BM_run/70000",18,3.98038e+07,3.97777e+07,ns,,,,,,0,0,70000,18
"BM_run/80000",19,2.74548e+07,2.74356e+07,ns,,,,,,0,0,80000,19
"BM_run/90000",13,5.50327e+07,5.49975e+07,ns,,,,,,0,0,90000,13
"BM_run/100000",21,4.69011e+07,4.68701e+07,ns,,,,,,0,0,100000,21
"BM_run/200000",10,7.35593e+07,7.35092e+07,ns,,,,,,0,0,200000,10
"BM_run/300000",10,8.73036e+07,8.72396e+07,ns,,,,,,0,0,300000,10
"BM_run/400000",9,2.98281e+08,2.98096e+08,ns,,,,,,0,0,400000,9
"BM_run/500000",13,1.25549e+08,1.25458e+08,ns,,,,,,0,0,500000,13
"BM_run/600000",1,5.91011e+08,5.90648e+08,ns,,,,,,0,0,600000,1
"BM_run/700000",7,4.38755e+08,4.38485e+08,ns,,,,,,0,0,700000,7
"BM_run/800000",1,6.07475e+08,6.07108e+08,ns,,,,,,0,0,800000,1
"BM_run/900000",4,2.1959e+08,2.19425e+08,ns,,,,,,0,0,900000,4
"BM_run/1000000",3,7.92534e+08,7.92062e+08,ns,,,,,,0,0,1e+06,3
"BM_run/2000000",1,5.73615e+08,5.73181e+08,ns,,,,,,0,0,2e+06,1
"BM_run/3000000",1,5.5756e+08,5.57105e+08,ns,,,,,,0,0,3e+06,1
"BM_run/4000000",1,7.05789e+09,7.05381e+09,ns,,,,,,0,0,4e+06,1
"BM_run/5000000",1,3.23688e+09,3.23487e+09,ns,,,,,,0,0,5e+06,1
"BM_run/6000000",1,1.17763e+10,1.17691e+10,ns,,,,,,0,0,6e+06,1
"BM_run/7000000",1,2.14057e+09,2.13895e+09,ns,,,,,,0,0,7e+06,1
"BM_run/8000000",1,9.67529e+09,9.66974e+09,ns,,,,,,0,0,8e+06,1
"BM_run/9000000",1,9.21983e+08,9.2113e+08,ns,,,,,,0,0,9e+06,1
