Data structureconstruction time: 11530339879 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1",4817033,144.369,145.246,ns,,,,,,0,0,1,5.05103e+13
"BM_run/2",4525354,154.227,154.522,ns,,,,,,0,0,2,7.65355e+11
"BM_run/3",2518286,279.419,278.24,ns,,,,,,0,0,3,6.87195e+09
"BM_run/4",927639,756.561,751.823,ns,,,,,,0,0,4,4.17434e+07
"BM_run/5",577329,1213.56,1208.23,ns,,,,,,0,0,5,988122
"BM_run/6",450662,1556.54,1550.95,ns,,,,,,0,0,6,455894
"BM_run/7",380910,1846.73,1841.43,ns,,,,,,0,0,7,380964
"BM_run/8",336046,2092.24,2087.46,ns,,,,,,0,0,8,336047
"BM_run/9",304598,2299.88,2295.98,ns,,,,,,0,0,9,304598
"BM_run/10",281412,2489.64,2486.36,ns,,,,,,0,0,10,281412
"BM_run/20",185009,3792.3,3790.19,ns,,,,,,0,0,20,185009
"BM_run/30",145190,4833.73,4832.21,ns,,,,,,0,0,30,145190
"BM_run/40",118887,5865.33,5863.58,ns,,,,,,0,0,40,118887
"BM_run/50",100313,6882.61,6881.13,ns,,,,,,0,0,50,100313
"BM_run/60",88361,7927.42,7925.31,ns,,,,,,0,0,60,88361
"BM_run/70",76642,8980.61,8977.67,ns,,,,,,0,0,70,76642
"BM_run/80",70300,10060.9,10057.2,ns,,,,,,0,0,80,70300
"BM_run/90",62716,11094,11089.9,ns,,,,,,0,0,90,62716
"BM_run/100",57333,12197.1,12192.1,ns,,,,,,0,0,100,57333
"BM_run/200",30547,22845.2,22836,ns,,,,,,0,0,200,30547
"BM_run/300",20890,33481.2,33466.1,ns,,,,,,0,0,300,20890
"BM_run/400",15848,44183.3,44161.7,ns,,,,,,0,0,400,15848
"BM_run/500",12621,54998.9,54969.3,ns,,,,,,0,0,500,12621
"BM_run/600",10710,65551.4,65511.7,ns,,,,,,0,0,600,10710
"BM_run/700",9225,76215.9,76172.7,ns,,,,,,0,0,700,9225
"BM_run/800",8035,86711.6,86663.2,ns,,,,,,0,0,800,8035
"BM_run/900",7176,97427.3,97375,ns,,,,,,0,0,900,7176
"BM_run/1000",6501,108410,108350,ns,,,,,,0,0,1000,6501
"BM_run/2000",3276,213779,213653,ns,,,,,,0,0,2000,3276
"BM_run/3000",2196,319343,319117,ns,,,,,,0,0,3000,2196
"BM_run/4000",1648,424993,424648,ns,,,,,,0,0,4000,1648
"BM_run/5000",1319,532615,532134,ns,,,,,,0,0,5000,1319
"BM_run/6000",1104,636222,635651,ns,,,,,,0,0,6000,1104
"BM_run/7000",940,742498,741823,ns,,,,,,0,0,7000,940
"BM_run/8000",823,849230,848415,ns,,,,,,0,0,8000,823
"BM_run/9000",736,955186,954242,ns,,,,,,0,0,9000,736
"BM_run/10000",663,1.06493e+06,1.06387e+06,ns,,,,,,0,0,10000,663
"BM_run/20000",331,2.11861e+06,2.1165e+06,ns,,,,,,0,0,20000,331
"BM_run/30000",220,3.19529e+06,3.19209e+06,ns,,,,,,0,0,30000,220
"BM_run/40000",165,4.24877e+06,4.24451e+06,ns,,,,,,0,0,40000,165
"BM_run/50000",132,5.32719e+06,5.32176e+06,ns,,,,,,0,0,50000,132
"BM_run/60000",110,6.36014e+06,6.35377e+06,ns,,,,,,0,0,60000,110
"BM_run/70000",95,7.42453e+06,7.41704e+06,ns,,,,,,0,0,70000,95
"BM_run/80000",83,8.48883e+06,8.48008e+06,ns,,,,,,0,0,80000,83
"BM_run/90000",73,9.52406e+06,9.51451e+06,ns,,,,,,0,0,90000,73
"BM_run/100000",66,1.06319e+07,1.06207e+07,ns,,,,,,0,0,100000,66
"BM_run/200000",33,2.112e+07,2.10988e+07,ns,,,,,,0,0,200000,33
"BM_run/300000",22,3.16952e+07,3.16643e+07,ns,,,,,,0,0,300000,22
"BM_run/400000",17,4.22671e+07,4.22239e+07,ns,,,,,,0,0,400000,17
"BM_run/500000",13,5.30522e+07,5.29988e+07,ns,,,,,,0,0,500000,13
"BM_run/600000",11,6.34243e+07,6.33624e+07,ns,,,,,,0,0,600000,11
"BM_run/700000",9,7.39585e+07,7.38829e+07,ns,,,,,,0,0,700000,9
"BM_run/800000",8,8.44734e+07,8.43835e+07,ns,,,,,,0,0,800000,8
"BM_run/900000",7,9.50048e+07,9.49102e+07,ns,,,,,,0,0,900000,7
"BM_run/1000000",7,1.06109e+08,1.06002e+08,ns,,,,,,0,0,1e+06,7
"BM_run/2000000",3,2.11303e+08,2.11098e+08,ns,,,,,,0,0,2e+06,3
"BM_run/3000000",2,3.16762e+08,3.16442e+08,ns,,,,,,0,0,3e+06,2
"BM_run/4000000",2,4.22352e+08,4.21917e+08,ns,,,,,,0,0,4e+06,2
"BM_run/5000000",1,5.28044e+08,5.27507e+08,ns,,,,,,0,0,5e+06,1
"BM_run/6000000",1,6.37204e+08,6.36542e+08,ns,,,,,,0,0,6e+06,1
"BM_run/7000000",1,7.3917e+08,7.38395e+08,ns,,,,,,0,0,7e+06,1
"BM_run/8000000",1,8.45565e+08,8.44689e+08,ns,,,,,,0,0,8e+06,1
"BM_run/9000000",1,9.51286e+08,9.50289e+08,ns,,,,,,0,0,9e+06,1
