Data structureconstruction time: 20103282344 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1",4493717,154.771,155.944,ns,,,,,,0,0,1,4.712e+13
"BM_run/2",168075,4155.93,4157.91,ns,,,,,,0,0,2,6.68626e+10
"BM_run/3",113374,6042.21,6040.2,ns,,,,,,0,0,3,5.67919e+09
"BM_run/4",67442,10336.1,10330,ns,,,,,,0,0,4,1.39259e+09
"BM_run/5",70668,9833.83,9826.46,ns,,,,,,0,0,5,9.00932e+08
"BM_run/6",55825,12562.1,12553,ns,,,,,,0,0,6,4.79895e+08
"BM_run/7",51215,13644.5,13634.2,ns,,,,,,0,0,7,3.01956e+08
"BM_run/8",44767,15666.2,15654.8,ns,,,,,,0,0,8,1.90096e+08
"BM_run/9",50319,13861.7,13851.4,ns,,,,,,0,0,9,1.66323e+08
"BM_run/10",44609,15574.4,15562.6,ns,,,,,,0,0,10,1.12046e+08
"BM_run/20",28010,25135.5,25116.1,ns,,,,,,0,0,20,1.10677e+07
"BM_run/30",19645,36188.9,36157.1,ns,,,,,,0,0,30,2.35508e+06
"BM_run/40",15016,46678.8,46636.8,ns,,,,,,0,0,40,1.11051e+06
"BM_run/50",12216,57157.7,57108.3,ns,,,,,,0,0,50,375977
"BM_run/60",9662,69506,69442.3,ns,,,,,,0,0,60,123475
"BM_run/70",8617,80860,80788,ns,,,,,,0,0,70,29440
"BM_run/80",7452,90760.7,90680,ns,,,,,,0,0,80,16557
"BM_run/90",6481,102962,102868,ns,,,,,,0,0,90,14263
"BM_run/100",6195,115391,115287,ns,,,,,,0,0,100,13346
"BM_run/200",2861,235121,234919,ns,,,,,,0,0,200,5822
"BM_run/300",1927,368287,367979,ns,,,,,,0,0,300,3694
"BM_run/400",1444,490459,490064,ns,,,,,,0,0,400,2194
"BM_run/500",1114,629673,629174,ns,,,,,,0,0,500,1588
"BM_run/600",985,755681,755054,ns,,,,,,0,0,600,1829
"BM_run/700",733,950559,949785,ns,,,,,,0,0,700,1563
"BM_run/800",652,1.02882e+06,1.02803e+06,ns,,,,,,0,0,800,1011
"BM_run/900",647,1.08416e+06,1.08331e+06,ns,,,,,,0,0,900,1349
"BM_run/1000",559,1.31491e+06,1.3139e+06,ns,,,,,,0,0,1000,1126
"BM_run/2000",285,2.49055e+06,2.48863e+06,ns,,,,,,0,0,2000,285
"BM_run/3000",175,3.92494e+06,3.92206e+06,ns,,,,,,0,0,3000,176
"BM_run/4000",163,5.28295e+06,5.27902e+06,ns,,,,,,0,0,4000,164
"BM_run/5000",100,7.3472e+06,7.3419e+06,ns,,,,,,0,0,5000,100
"BM_run/6000",91,8.7783e+06,8.77198e+06,ns,,,,,,0,0,6000,91
"BM_run/7000",100,8.74553e+06,8.73906e+06,ns,,,,,,0,0,7000,100
"BM_run/8000",55,9.43417e+06,9.42701e+06,ns,,,,,,0,0,8000,55
"BM_run/9000",62,9.24509e+06,9.23792e+06,ns,,,,,,0,0,9000,62
"BM_run/10000",68,1.4223e+07,1.42128e+07,ns,,,,,,0,0,10000,68
"BM_run/20000",50,2.67324e+07,2.67136e+07,ns,,,,,,0,0,20000,50
"BM_run/30000",10,5.19371e+07,5.19017e+07,ns,,,,,,0,0,30000,10
"BM_run/40000",14,6.48637e+07,6.48184e+07,ns,,,,,,0,0,40000,14
"BM_run/50000",10,9.13608e+07,9.12983e+07,ns,,,,,,0,0,50000,10
"BM_run/60000",17,3.89002e+07,3.8868e+07,ns,,,,,,0,0,60000,17
"BM_run/70000",10,1.32883e+08,1.32797e+08,ns,,,,,,0,0,70000,10
"BM_run/80000",10,1.21775e+08,1.21693e+08,ns,,,,,,0,0,80000,10
"BM_run/90000",12,1.17439e+08,1.17359e+08,ns,,,,,,0,0,90000,12
"BM_run/100000",8,1.07113e+08,1.07037e+08,ns,,,,,,0,0,100000,8
"BM_run/200000",1,6.29002e+08,6.28641e+08,ns,,,,,,0,0,200000,1
"BM_run/300000",1,1.03044e+09,1.02983e+09,ns,,,,,,0,0,300000,1
"BM_run/400000",1,6.06459e+08,6.06055e+08,ns,,,,,,0,0,400000,1
"BM_run/500000",1,4.2131e+09,4.21064e+09,ns,,,,,,0,0,500000,1
"BM_run/600000",1,1.14098e+09,1.14024e+09,ns,,,,,,0,0,600000,1
"BM_run/700000",1,8.2604e+08,8.25398e+08,ns,,,,,,0,0,700000,1
"BM_run/800000",3,7.34339e+08,7.33754e+08,ns,,,,,,0,0,800000,3
"BM_run/900000",2,9.23184e+08,9.22482e+08,ns,,,,,,0,0,900000,2
"BM_run/1000000",1,1.48675e+09,1.48573e+09,ns,,,,,,0,0,1e+06,1
"BM_run/2000000",1,1.89704e+09,1.8955e+09,ns,,,,,,0,0,2e+06,1
"BM_run/3000000",1,1.87159e+09,1.87001e+09,ns,,,,,,0,0,3e+06,1
"BM_run/4000000",1,7.46147e+09,7.45677e+09,ns,,,,,,0,0,4e+06,1
"BM_run/5000000",1,1.18553e+10,1.1848e+10,ns,,,,,,0,0,5e+06,1
"BM_run/6000000",1,3.49308e+09,3.48998e+09,ns,,,,,,0,0,6e+06,1
"BM_run/7000000",1,4.57962e+09,4.57558e+09,ns,,,,,,0,0,7e+06,1
"BM_run/8000000",1,1.75662e+09,1.75482e+09,ns,,,,,,0,0,8e+06,1
"BM_run/9000000",1,2.48506e+09,2.48255e+09,ns,,,,,,0,0,9e+06,1
